x,y
980,707
981,706
982,706
983,705
982,706
981,706
980,707
979,707
978,708
976,708
975,709
973,709
972,710
968,710
967,711
965,711
964,712
962,712
961,713
959,713
958,714
954,714
951,717
949,717
948,716
946,716
945,715
946,714
946,699
947,698
947,696
948,695
948,693
949,692
949,690
950,689
950,687
951,686
951,684
952,683
952,679
953,678
953,676
954,675
954,673
955,672
955,671
961,665
961,663
962,662
962,660
963,659
963,657
964,656
964,655
966,653
966,652
967,651
968,651
969,650
970,650
972,648
972,646
973,645
973,644
974,643
974,642
975,641
975,640
978,637
978,635
979,634
979,631
980,630
980,626
981,625
981,620
982,619
982,617
985,614
985,612
986,611
986,610
987,609
987,608
988,607
988,606
989,605
989,604
990,603
990,599
991,598
991,596
994,593
994,592
995,591
995,589
998,586
998,584
999,583
999,582
1001,580
1002,580
1004,578
1005,578
1006,577
1007,577
1009,575
1010,575
1011,574
1012,574
1013,573
1015,573
1016,572
1018,572
1019,571
1021,571
1022,570
1023,570
1028,565
1029,565
1030,564
1031,564
1033,562
1033,561
1034,560
1034,559
1041,552
1043,552
1044,551
1046,551
1047,550
1049,550
1050,549
1052,549
1053,548
1055,548
1056,547
1058,547
1059,546
1062,546
1063,545
1068,545
1069,544
1074,544
1075,543
1077,543
1078,542
1080,542
1081,541
1083,541
1084,540
1086,540
1087,539
1089,539
1090,538
1092,538
1093,537
1095,537
1096,536
1098,536
1099,535
1101,535
1102,534
1105,534
1106,535
1111,535
1112,536
1116,536
1118,538
1120,538
1122,540
1124,540
1125,541
1126,541
1139,554
1141,554
1142,555
1144,555
1145,556
1147,556
1148,557
1155,557
1156,558
1158,558
1164,564
1165,564
1169,568
1170,568
1172,570
1173,570
1176,573
1189,573
1190,574
1193,574
1194,575
1198,575
1199,576
1200,576
1201,577
1207,577
1208,578
1213,578
1214,579
1231,579
1232,580
1236,580
1238,582
1240,582
1241,583
1243,583
1244,584
1245,584
1246,585
1247,585
1248,586
1250,586
1251,587
1255,587
1256,588
1258,588
1259,589
1262,589
1263,590
1265,590
1266,591
1272,591
1273,592
1277,592
1278,593
1279,593
1280,594
1281,594
1282,595
1283,595
1284,596
1285,596
1288,599
1289,599
1290,600
1292,600
1293,601
1294,601
1295,602
1296,602
1297,603
1301,603
1302,604
1303,604
1304,605
1307,605
1308,606
1311,606
1312,607
1314,607
1316,609
1317,609
1318,610
1319,610
1322,613
1323,613
1325,615
1326,615
1328,617
1329,617
1331,619
1333,619
1338,624
1338,626
1347,635
1347,636
1355,644
1356,644
1360,648
1361,648
1362,649
1367,649
1368,650
1369,650
1370,651
1371,651
1373,653
1374,653
1378,657
1379,657
1380,658
1382,658
1383,659
1384,659
1385,660
1385,662
1395,672
1395,673
1400,678
1400,679
1401,680
1401,681
1403,683
1403,684
1404,685
1404,687
1405,688
1405,690
1406,691
1406,693
1407,694
1407,696
1408,697
1407,696
1407,694
1406,693
1406,691
1405,690
1405,688
1404,687
1404,685
1403,684
1403,683
1401,681
1401,680
1400,679
1400,678
